id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1670943,Room in cosy and little house near centre of Ghent,5390128,Mieke,,Muide - Meulestede - Afrikalaan,51.07408905029297,3.7324869632720947,Private room,85,1,46,2024-12-08,0.37,3,86,8,
1720808,unique loftspace with garden,9071229,Mieke,,Sluizeken - Tolhuis - Ham,51.05806,3.73801,Entire home/apt,213,4,25,2024-08-03,0.18,1,34,2,
1754719,Band Resort 1.1. - Rent Appartment,9228510,Vincent,,Binnenstad,51.05449,3.72634,Entire home/apt,463,2,306,2024-12-23,2.26,1,318,43,
1981738,Small loft + private bathroom,10225820,Peter,,Oud Gentbrugge,51.04052,3.74554,Private room,61,2,365,2024-12-14,2.73,1,315,34,
2043584,Lounge in the Intimate Urban Garden at a Retro Getaway,10479270,Nina,,Elisabethbegijnhof - Papegaai,51.0577,3.71475,Entire home/apt,128,2,612,2024-12-15,4.59,1,78,50,
2082353,"Cosy, sunny and spacious house with city garden",9075008,Wouter,,Ledeberg,51.03942,3.74241,Entire home/apt,261,2,190,2024-12-15,1.42,1,65,16,
2138676,Appartement Centrum aan Water “roomS with a view”,10913980,Alice,,Macharius - Heirnis,51.04414,3.73911,Entire home/apt,166,2,100,2022-08-29,0.75,1,261,0,
2216415,Bright Apartment in Ghent (50m²),11304146,Kristof,,Macharius - Heirnis,51.05463,3.73745,Entire home/apt,61,90,77,2024-12-16,0.58,4,237,9,
2398101,Ingericht appartement aan de rand van de stad,5298594,Isabelle,,Ledeberg,51.034763,3.734547,Entire home/apt,110,3,27,2024-06-25,0.38,1,19,4,
2471516,Appartement center Ledeberg,12637432,Pieter,,Ledeberg,51.03788804155838,3.7485871682617056,Entire home/apt,,4,2,2024-07-21,0.26,1,0,2,
2495356,Entrée d'Artistes@GhentHistoricalCentre,12772331,Ann,,Sluizeken - Tolhuis - Ham,51.06135,3.72523,Private room,75,1,480,2024-12-22,3.68,1,73,40,
2525482,Located 3 km from center . ( room ),12931085,Koen,,Bloemekenswijk,51.07502,3.70798,Private room,250,1,0,,,1,365,0,
2600085,Brand new studio flat,13314551,Kris &  Marie,,Macharius - Heirnis,51.05309,3.73597,Entire home/apt,,2,34,2018-02-18,0.26,2,0,0,
2604886,Gezellig huisje langs het Kanaal,13340654,Dirk,,Mariakerke,51.07425,3.68447,Entire home/apt,83,4,29,2024-12-08,0.25,1,45,7,
2702324,Luxury Loft,13829824,Francis,,Muide - Meulestede - Afrikalaan,51.08058,3.72903,Entire home/apt,65,14,38,2024-12-02,0.29,6,328,3,
3120783,Villa-Emma - 3000m2 tuin:Tilia,15853573,Georges,,Sint Amandsberg,51.075,3.75642,Private room,130,2,9,2023-05-09,0.07,2,232,0,
3124062,Villa-Emma - 3000m2 tuin:Acacia,15853573,Georges,,Sint Amandsberg,51.07558,3.75869,Private room,145,2,8,2022-04-24,0.06,2,243,0,
3611653,Charming duplex in historical center,18198634,Isabelle,,Binnenstad,51.05312,3.72556,Entire home/apt,229,2,427,2024-12-07,3.37,1,320,43,
3803585,Beautiful and comfortable bedroom,19543730,Vera,,Binnenstad,51.05089,3.73527,Private room,65,2,109,2021-08-15,0.87,1,78,0,
3831324,Home Trietje 1 **,19054548,Ly,,Mariakerke,51.072,3.68585,Entire home/apt,215,6,27,2024-09-29,0.22,2,233,1,
